代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数,明细
988,华工科技,2023-12-31,3,1625.2774,1.62,332.7454,1.29,2,+展开明细
999,华润三九,2023-12-31,7,6794.242,6.88,-278.4645,7.16,6,+展开明细
600576,祥源文旅,2023-12-31,4,5292.8926,4.96,1524.4487,3.53,3,+展开明细
600575,淮河能源,2023-12-31,1,663.8756,0.17,-1774.9144,0.63,1,+展开明细
600502,安徽建工,2023-12-31,4,3596.4528,2.1,1146.4408,1.43,3,+展开明细
600251,冠农股份,2023-12-31,1,434.71,0.56,434.71,0.0,0,+展开明细
600273,嘉化能源,2023-12-31,2,2420.56,1.73,1145.77,0.91,1,+展开明细
600029,南方航空,2023-12-31,1,7064.4579,0.39,0.0,0.39,1,+展开明细
600546,山煤国际,2023-12-31,4,7243.9256,3.65,-4801.7481,6.08,6,+展开明细
600547,山东黄金,2023-12-31,1,1655.16,0.37,-886.9086,0.57,1,+展开明细
600449,宁夏建材,2023-12-31,2,369.9182,0.77,-405.0625,1.62,3,+展开明细
600507,方大特钢,2023-12-31,5,2754.4779,1.18,-73.7372,1.21,4,+展开明细
600403,大有能源,2023-12-31,3,1397.9978,0.58,213.4478,0.5,2,+展开明细
600477,杭萧钢构,2023-12-31,1,1124.67,0.47,-354.33,0.62,1,+展开明细
600284,浦东建设,2023-12-31,2,809.245,0.83,206.39,0.62,1,+展开明细
600988,赤峰黄金,2023-12-31,3,7883.3774,4.74,-231.92,4.88,3,+展开明细
600976,健民集团,2023-12-31,6,1726.0279,11.25,-271.7,13.02,6,+展开明细
600497,驰宏锌锗,2023-12-31,3,5427.9605,1.07,-921.1107,1.25,3,+展开明细
600985,淮北矿业,2023-12-31,1,2128.5451,0.86,-76.5748,0.89,1,+展开明细
600992,贵绳股份,2023-12-31,2,135.1067,0.55,45.56,0.37,1,+展开明细
600997,开滦股份,2023-12-31,6,9138.5082,5.76,7041.9495,1.32,4,+展开明细
600420,国药现代,2023-12-31,1,1372.5264,1.02,13.5,1.01,1,+展开明细
2007,华兰生物,2023-12-31,3,4558.8573,2.49,856.0457,2.03,2,+展开明细
600022,山东钢铁,2023-12-31,1,3010.0415,0.28,-900.47,0.37,1,+展开明细
2014,永新股份,2023-12-31,1,382.53,0.62,382.53,0.0,0,+展开明细
2022,科华生物,2023-12-31,2,837.99,1.63,837.99,0.0,0,+展开明细
2025,航天电器,2023-12-31,3,2117.9999,4.64,-490.3303,5.71,4,+展开明细
2030,达安基因,2023-12-31,3,3959.6785,2.82,-807.5479,3.4,4,+展开明细
600971,恒源煤电,2023-12-31,4,6239.0314,5.2,2274.1418,3.3,4,+展开明细
2032,苏泊尔,2023-12-31,7,1551.0919,1.92,-15.5862,1.94,6,+展开明细
2033,丽江股份,2023-12-31,3,688.4721,1.25,-235.7225,1.68,3,+展开明细
600027,华电国际,2023-12-31,2,9138.3212,0.89,4002.2385,0.5,1,+展开明细
600970,中材国际,2023-12-31,2,3683.4634,1.39,420.56,1.23,2,+展开明细
601588,北辰实业,2023-12-31,1,1234.9195,0.37,-131.92,0.41,1,+展开明细
601991,大唐发电,2023-12-31,2,8500.7269,0.46,-4230.62,0.69,3,+展开明细
601633,长城汽车,2023-12-31,3,9172.6166,1.08,665.6994,1.0,3,+展开明细
601866,中远海发,2023-12-31,3,7296.3047,0.54,4346.78,0.22,1,+展开明细
601899,紫金矿业,2023-12-31,1,20084.6253,0.76,4303.33,0.6,1,+展开明细
688385,复旦微电,2023-12-31,2,2907.0234,3.55,-2098.3259,6.13,4,+展开明细
600999,招商证券,2023-12-31,1,7998.2102,0.92,533.8049,0.86,1,+展开明细
601456,国联证券,2023-12-31,1,2575.4116,0.91,382.2479,0.77,1,+展开明细
601236,红塔证券,2023-12-31,2,4569.9668,0.97,2984.0031,0.34,1,+展开明细
600909,华安证券,2023-12-31,2,9966.1492,2.12,476.031,2.02,2,+展开明细
